2,3,9,10,11,11,11,11,11,14,14,14,14,14,14,18,20,21,25,25,25,25,25,26,27,27,27,27,27,27,28,29,32,32,32,32,32,32,33,36,36,36,36,36,36,36,37,37,38,38,38,39,39,41,42,42,42,42,42,43,44,45,46,46,50,50,50,50,50,52,52,52,52,52,52,52,55,55,56,56,56,56,57,58,59,63,65,68,73,73,73,73,73,73,73,74,74,74,75,75,75,75,75,75,76,76,78,78,79,79,79,79,80,80,81,81,82,84,85
0,0,1,2,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,6,6,6,7,7,7,8,11,11,11,11,12,13,13,13,13,13,14,14,14,14,15,16,16,16,16,16,16,16,16,16,16,16,16,16,16,17,17,17,19,19,20,21,21,21,21,23,28,30,30,30,30,31,32,34,38,39,39,39,40,40,40,40,40,40,40,40,41,41,42,42,42,43,43,45,45,45,46,46,46,47,47,47,47,47,47,47,47,47,47,47,49,50,50
0,0,0,0,0,0,1,2,3,3,3,4,5,5,6,7,8,8,8,8,8,8,8,8,9,10,11,12,12,12,12,12,12,12,12,12,13,13,13,14,14,15,17,19,24,24,24,26,26,26,27,28,29,29,29,29,29,29,29,29,30,31,31,32,32,33,33,33,33,33,34,35,37,37,38,38,39,39,39,40,41,44,44,44,44,47,51,57,58,59,59,59,60,61,62,63,63,63,63,64,65,65,65,65,65,65,65,65,66,66,66,66,66,66,66,66,66,66,66
0,1,3,4,8,8,8,8,8,8,8,8,8,9,9,9,9,9,9,9,9,10,10,11,11,11,11,11,11,12,13,14,14,14,14,14,14,14,14,15,15,15,15,15,15,15,15,15,15,15,15,16,18,20,20,20,20,20,20,21,22,22,22,22,23,24,25,25,26,26,27,28,29,29,30,30,30,31,33,36,40,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,43,45,51,53,53,53,53,53,53,55,55,55,55,55,55,55,55,56,56
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,2,3,3,3,4,4,4,4,4,4,5,5,6,7,7,7,7,7,7,7,7,8,8,9,9,9,9,10,10,10,10,10,10,10,10,10,10,10,10,10,11,13,13,13,13,14,15,16,17,17,17,17,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,19,19,20,22,22,22,22,23,27,27,27,28,28,30,30,30,30,31,31,32,32,33,33,33,33,33,34,37,39,40,40,40,40
0,1,3,3,3,4,4,4,4,4,5,5,5,5,5,5,5,5,6,6,6,7,12,12,14,16,16,17,18,21,23,26,28,28,28,29,29,29,29,29,30,30,30,32,34,34,34,34,36,36,36,37,38,38,39,39,39,41,45,45,46,46,46,46,46,46,46,48,48,48,48,48,48,48,48,48,48,48,48,48,49,51,51,51,52,52,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,54,54,54,54,54,54,55,55,57,57,58,58
0,0,0,0,1,1,1,1,1,3,5,6,7,7,7,7,8,8,8,8,8,8,8,8,8,8,8,8,8,9,9,10,10,10,10,10,10,10,10,10,10,10,11,11,11,11,12,13,13,13,13,13,14,14,14,15,15,16,16,16,17,18,18,18,18,18,18,18,19,22,22,26,27,27,28,28,28,28,28,28,28,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,30,30,30,30,30,30,30,31,32,34,34,34,34,35,35,35,35,35,35
0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,3,3,3,3,5,7,7,7,7,8,8,8,8,8,8,9,10,13,13,13,13,13,13,14,17,17,20,20,20,20,20,20,20,20,21,21,21,22,23,23,24,24,24,24,24,25,25,25,25,25,26,28,30,30,30,31,31,31,31,31,31,31,31,31,31,32,32,33,34,34,35,36,37,38,41,45,45,46,46,46,46,46,46,46,46,47,48,49,49,51,52,52
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,4,5,6,6,6,6,6,6,7,7,9,9,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,14,17,17,17,18,19,21,21,21,21,21,21,22,23,23,24,24,24,24,24,24,24,24,24,25,27,30,32,36,39,40,40,40,40,40,40,40,40,40,40,40,41,42,42,42,43
0,0,0,0,1,1,3,3,3,3,4,4,4,4,4,4,5,5,5,5,5,6,6,6,6,6,7,7,7,7,7,8,8,8,8,8,8,8,9,10,11,11,11,11,11,11,11,12,12,12,12,14,14,16,16,18,18,21,24,26,27,27,28,28,28,28,28,29,29,29,29,29,29,29,29,29,29,29,29,29,29,30,30,32,32,32,32,32,32,33,33,34,34,34,34,34,34,34,35,35,35,35,35,35,35,35,35,35,35,36,37,37,37,37,38,39,40,41,42
